Data,DateTime,EventNumber,GpsPos,Team
2021,2019-08-23 13:50:24,650,N1813.47W09427.90,Team Tosca
91,2019-08-23 13:50:24,760,N1813.47W09427.90,Team Tosca
92,2019-08-23 13:50:24,770,N1813.47W09427.90,Team Tosca
63,2019-08-23 13:51:24,331,N1813.47W09427.90,Team Tosca
1996,2019-08-23 13:51:24,640,N1813.47W09427.90,Team Tosca
1927,2019-08-23 13:51:24,650,N1813.47W09427.90,Team Tosca
87,2019-08-23 13:51:24,760,N1813.47W09427.90,Team Tosca
89,2019-08-23 13:51:24,770,N1813.47W09427.90,Team Tosca
76,2019-08-23 13:52:24,331,N1813.47W09427.90,Team Tosca
1915,2019-08-23 13:52:24,640,N1813.47W09427.90,Team Tosca
1869,2019-08-23 13:52:24,650,N1813.47W09427.90,Team Tosca
84,2019-08-23 13:52:24,760,N1813.47W09427.90,Team Tosca
87,2019-08-23 13:52:24,770,N1813.47W09427.90,Team Tosca
90,2019-08-23 13:53:25,331,N1813.47W09427.90,Team Tosca
1864,2019-08-23 13:53:25,640,N1813.47W09427.90,Team Tosca
1821,2019-08-23 13:53:25,650,N1813.47W09427.90,Team Tosca
81,2019-08-23 13:53:25,760,N1813.47W09427.90,Team Tosca
85,2019-08-23 13:53:25,770,N1813.47W09427.90,Team Tosca
103,2019-08-23 13:54:25,331,N1813.47W09427.90,Team Tosca
1810,2019-08-23 13:54:25,640,N1813.47W09427.90,Team Tosca
1785,2019-08-23 13:54:25,650,N1813.47W09427.90,Team Tosca
80,2019-08-23 13:54:25,760,N1813.47W09427.90,Team Tosca
83,2019-08-23 13:54:25,770,N1813.47W09427.90,Team Tosca
114,2019-08-23 13:55:25,331,N1813.47W09427.90,Team Tosca
1764,2019-08-23 13:55:25,640,N1813.47W09427.90,Team Tosca
1753,2019-08-23 13:55:25,650,N1813.47W09427.90,Team Tosca
78,2019-08-23 13:55:25,760,N1813.47W09427.90,Team Tosca
82,2019-08-23 13:55:25,770,N1813.47W09427.90,Team Tosca
127,2019-08-23 13:56:25,331,N1813.47W09427.90,Team Tosca
1718,2019-08-23 13:56:25,640,N1813.47W09427.90,Team Tosca
1714,2019-08-23 13:56:25,650,N1813.47W09427.90,Team Tosca
77,2019-08-23 13:56:25,760,N1813.47W09427.90,Team Tosca
81,2019-08-23 13:56:25,770,N1813.47W09427.90,Team Tosca
140,2019-08-23 13:57:25,331,N1813.47W09427.90,Team Tosca
