Team Toccata;;
PB-01998;;
V3.1.17 ;;
DateTime;AlarmNumber;
2019-01-17 08:55:09;66;
2019-01-17 09:02:50;33;
2019-01-17 10:51:24;17;
2019-01-17 10:52:24;17;
2019-01-17 10:52:35;66;
2019-01-17 10:52:55;33;
2019-01-17 11:30:03;306;
2019-01-17 11:43:04;66;
2019-01-18 02:16:03;29;
2019-01-18 02:36:52;19;
2019-01-18 03:16:07;66;
2019-01-18 03:38:12;2182;
2019-01-18 03:38:12;2116;
2019-01-18 03:38:18;25;
2019-01-18 03:39:30;2117;
2019-01-18 03:39:30;2183;
2019-01-18 03:42:30;1117;
2019-01-18 03:42:30;1183;
2019-01-18 03:44:14;25;
2019-01-18 03:47:32;25;
2019-01-18 03:51:07;2182;
2019-01-18 03:51:23;1116;
2019-01-18 03:52:18;1117;
2019-01-18 03:52:18;1183;
2019-01-18 03:52:18;2117;
2019-01-18 03:52:18;2183;
2019-01-18 03:56:53;2182;
2019-01-18 03:56:54;2116;
2019-01-18 03:56:57;25;
2019-01-18 03:56:58;1116;
2019-01-18 03:56:58;77;
2019-01-18 03:56:58;1182;
2019-01-18 03:58:02;1117;
2019-01-18 03:58:02;1183;
2019-01-18 03:58:02;2117;
2019-01-18 03:58:02;2183;
2019-01-18 04:00:45;25;
2019-01-18 04:07:08;1117;
2019-01-18 04:07:08;1183;
2019-01-18 04:07:08;2183;
2019-01-18 04:07:08;2117;
2019-01-18 04:14:08;2182;
2019-01-18 04:14:08;2116;
2019-01-18 04:14:23;1182;
2019-01-18 04:14:23;77;
2019-01-18 04:14:23;1116;
2019-01-18 04:16:57;1117;
2019-01-18 04:16:57;1183;
2019-01-18 04:16:57;2117;
2019-01-18 04:16:57;2183;
2019-01-18 04:37:44;58;
2019-01-18 04:37:44;59;
2019-01-18 04:37:46;97;
2019-01-18 04:37:49;10;
2019-01-18 04:38:09;17;
2019-01-18 04:38:09;19;
2019-01-18 04:38:09;23;
2019-01-18 04:38:09;25;
2019-01-18 04:38:09;35;
2019-01-18 04:38:14;308;
2019-01-18 04:38:14;310;
2019-01-18 04:38:14;3;
2019-01-18 04:38:33;29;
2019-01-18 04:43:07;58;
2019-01-18 04:43:07;59;
2019-01-18 04:43:09;97;
2019-01-18 04:43:12;10;
2019-01-18 04:43:32;17;
2019-01-18 04:43:32;19;
2019-01-18 04:43:32;23;
2019-01-18 04:43:32;25;
2019-01-18 04:43:32;29;
2019-01-18 04:43:32;35;
2019-01-18 04:43:37;308;
2019-01-18 04:43:37;310;
2019-01-18 04:43:37;3;
2019-01-18 06:53:29;33;
2019-01-18 07:13:07;48;
2019-01-18 07:13:09;98;
2019-01-18 08:28:21;66;
2019-01-18 09:16:14;13;
2019-01-18 09:28:09;13;
2019-01-18 09:57:15;3;
2019-01-18 09:59:26;96;
2019-01-18 11:06:29;1100;
2019-01-18 11:06:29;2100;
2019-01-18 11:08:15;35;
2019-01-18 11:09:04;17;
2019-01-18 11:09:54;29;
2019-01-18 11:10:33;23;
2019-01-18 11:11:09;19;
2019-01-18 12:09:53;1117;
2019-01-18 12:09:54;1183;
2019-01-18 12:20:19;2183;
2019-01-18 12:20:20;2117;
2019-01-18 12:47:10;66;
2019-01-18 12:48:29;66;
2019-01-18 12:50:07;66;
2019-01-18 12:54:26;66;
2019-01-18 15:54:46;25;
2019-01-18 15:54:48;1170;
2019-01-18 15:54:48;2170;
2019-01-18 15:54:48;77;
2019-01-18 16:01:04;25;
2019-01-18 16:01:06;1170;
2019-01-18 16:01:06;2170;
2019-01-18 16:01:06;77;
2019-01-18 16:07:34;66;
2019-01-18 16:09:24;25;
2019-01-18 16:09:27;1170;
2019-01-18 16:09:27;2170;
2019-01-18 16:09:27;77;
2019-01-18 16:12:22;66;
2019-01-18 16:20:27;66;
2019-01-18 16:30:35;25;
2019-01-18 16:32:05;66;
2019-01-18 16:35:02;19;
2019-01-18 16:35:02;25;
2019-01-18 16:35:05;1170;
2019-01-18 16:35:05;2170;
2019-01-18 16:35:05;77;
2019-01-18 16:37:56;66;
2019-01-18 16:48:44;66;
2019-01-18 17:11:21;66;
2019-01-18 17:50:08;66;
2019-01-19 00:06:50;66;
2019-01-19 00:38:26;66;
2019-01-19 00:40:33;66;
2019-01-19 00:43:05;66;
2019-01-19 00:44:27;66;
2019-01-19 01:29:56;1122;
2019-01-19 01:29:56;1126;
2019-01-19 01:29:56;1137;
2019-01-19 01:29:56;1187;
2019-01-19 01:29:57;1138;
2019-01-19 01:30:00;1109;
2019-01-19 01:30:00;1113;
2019-01-19 01:30:00;1128;
2019-01-19 01:30:00;1129;
2019-01-19 01:30:00;1181;
2019-01-19 01:30:15;1151;
2019-01-19 01:30:20;1170;
2019-01-19 01:30:20;1171;
2019-01-19 01:33:49;1160;
2019-01-19 01:33:54;1130;
2019-01-19 01:33:55;1161;
2019-01-19 01:33:57;1131;
2019-01-19 01:34:26;1161;
2019-01-19 01:59:39;1161;
2019-01-19 01:59:46;1161;
2019-01-19 01:59:55;33;
2019-01-19 01:59:55;1161;
2019-01-19 05:06:48;1160;
2019-01-19 05:06:53;1130;
2019-01-19 05:06:56;1131;
2019-01-19 05:28:54;1161;
2019-01-19 05:29:04;1161;
2019-01-19 05:29:10;1161;
2019-01-19 05:29:41;1161;
2019-01-19 05:30:06;1161;
2019-01-19 05:30:12;1161;
2019-01-19 05:31:08;1161;
2019-01-19 05:31:49;33;
2019-01-19 05:31:55;1161;
2019-01-19 05:32:01;1161;
