Team Toccata;;;;
PB-01998;;;;
V3.1.17 ;;;;
DateTime;GpsPos;EventNumber;Data;
2019-03-07 04:52:24;N5157.7015E00402.428;331;699;
2019-03-07 04:52:24;N5157.7015E00402.428;650;1443;
2019-03-07 04:52:24;N5157.7015E00402.428;770;100;
2019-03-07 04:53:24;N5157.7014E00402.428;331;707;
2019-03-07 04:53:24;N5157.7014E00402.428;650;1448;
2019-03-07 04:53:24;N5157.7014E00402.428;770;100;
2019-03-07 04:54:24;N5157.7013E00402.428;331;716;
2019-03-07 04:54:24;N5157.7013E00402.428;650;1435;
2019-03-07 04:54:24;N5157.7013E00402.428;770;100;
2019-03-07 04:55:24;N5157.7012E00402.428;331;723;
2019-03-07 04:55:24;N5157.7012E00402.428;650;1439;
2019-03-07 04:55:24;N5157.7012E00402.428;770;100;
2019-03-07 04:56:24;N5157.7011E00402.428;331;731;
2019-03-07 04:56:24;N5157.7011E00402.428;650;1448;
2019-03-07 04:56:24;N5157.7011E00402.428;770;100;
2019-03-07 04:57:24;N5157.7011E00402.428;331;739;
2019-03-07 04:57:24;N5157.7011E00402.428;650;1450;
2019-03-07 04:57:24;N5157.7011E00402.428;770;100;
2019-03-07 04:58:24;N5157.7008E00402.428;331;747;
2019-03-07 04:58:24;N5157.7008E00402.428;650;1453;
2019-03-07 04:58:24;N5157.7008E00402.428;770;100;
2019-03-07 04:59:24;N5157.7010E00402.428;331;755;
2019-03-07 04:59:24;N5157.7010E00402.428;650;1458;
2019-03-07 04:59:24;N5157.7010E00402.428;770;100;
2019-03-07 05:00:24;N5157.7012E00402.428;331;763;
2019-03-07 05:00:24;N5157.7012E00402.428;650;1452;
2019-03-07 05:00:24;N5157.7012E00402.428;770;100;
2019-03-07 05:00:59;-;250;0;
2019-03-07 05:01:24;N5157.7012E00402.428;650;1450;
2019-03-07 05:01:24;N5157.7012E00402.428;770;100;
2019-03-07 05:02:03;N5157.7013E00402.428;165;0;
2019-03-07 05:02:03;-;400;0;
2019-03-07 05:02:18;N5157.7013E00402.428;160;0;
2019-03-07 05:02:18;-;380;0;
2019-03-07 05:02:22;-;190;0;
2019-03-07 05:02:22;N5157.7013E00402.428;330;773;
2019-03-07 05:32:25;-;210;0;
2019-03-07 05:32:25;-;370;0;
2019-03-07 05:32:28;N5157.7012E00402.428;150;0;
2019-03-07 05:34:10;-;430;1;
2019-03-07 05:34:18;-;390;0;
2019-03-07 05:34:25;N5157.7012E00402.428;650;1298;
2019-03-07 05:34:25;N5157.7012E00402.428;770;100;
2019-03-07 05:35:16;N5157.7011E00402.428;155;0;
2019-03-07 05:35:25;N5157.7011E00402.428;650;869;
2019-03-07 05:35:25;N5157.7011E00402.428;770;100;
2019-03-07 05:36:26;N5157.7010E00402.428;650;1361;
2019-03-07 05:36:26;N5157.7010E00402.428;770;100;
2019-03-07 05:37:26;N5157.7011E00402.428;650;1369;
2019-03-07 05:37:26;N5157.7011E00402.428;770;100;
2019-03-07 05:38:16;N5157.7012E00402.428;450;0;
2019-03-07 05:38:16;-;250;0;
2019-03-07 05:38:26;N5157.7012E00402.428;650;1390;
2019-03-07 05:38:26;N5157.7012E00402.428;770;100;
2019-03-07 05:38:28;N5157.7012E00402.428;165;0;
2019-03-07 05:38:28;-;400;0;
2019-03-07 05:38:43;N5157.7012E00402.428;160;0;
2019-03-07 05:38:43;-;380;0;
2019-03-07 05:38:47;-;190;0;
2019-03-07 05:43:56;-;210;0;
2019-03-07 05:43:56;-;370;0;
2019-03-07 05:44:00;N5157.7012E00402.428;150;0;
2019-03-07 05:45:40;-;430;1;
2019-03-07 05:45:48;-;390;0;
2019-03-07 05:46:07;N5157.7015E00402.428;155;0;
2019-03-07 05:46:17;N5157.7015E00402.428;220;0;
2019-03-07 05:46:17;N5157.7015E00402.428;806;0;
2019-03-07 05:46:26;N5157.7015E00402.428;331;0;
2019-03-07 05:46:26;N5157.7015E00402.428;650;1150;
2019-03-07 05:46:26;N5157.7015E00402.428;770;100;
2019-03-07 05:47:26;N5157.7014E00402.428;331;11;
2019-03-07 05:47:26;N5157.7014E00402.428;650;1429;
2019-03-07 05:47:26;N5157.7014E00402.428;770;100;
2019-03-07 05:48:26;N5157.7014E00402.428;331;23;
2019-03-07 05:48:26;N5157.7014E00402.428;650;1428;
2019-03-07 05:48:26;N5157.7014E00402.428;770;100;
2019-03-07 05:49:26;N5157.7014E00402.428;331;34;
2019-03-07 05:49:26;N5157.7014E00402.428;650;1434;
2019-03-07 05:49:26;N5157.7014E00402.428;770;100;
2019-03-07 05:50:26;N5157.7015E00402.428;331;46;
2019-03-07 05:50:26;N5157.7015E00402.428;650;1430;
2019-03-07 05:50:26;N5157.7015E00402.428;770;100;
2019-03-07 05:51:26;N5157.7015E00402.427;331;58;
2019-03-07 05:51:26;N5157.7015E00402.427;650;1427;
2019-03-07 05:51:26;N5157.7015E00402.427;770;100;
2019-03-07 05:52:26;N5157.7015E00402.427;331;69;
2019-03-07 05:52:26;N5157.7015E00402.427;650;1439;
2019-03-07 05:52:26;N5157.7015E00402.427;770;100;
2019-03-07 05:53:26;N5157.7015E00402.428;331;81;
2019-03-07 05:53:26;N5157.7015E00402.428;650;1442;
2019-03-07 05:53:26;N5157.7015E00402.428;770;100;
2019-03-07 05:54:32;N5157.7016E00402.428;331;93;
2019-03-07 05:54:32;N5157.7016E00402.428;650;1433;
2019-03-07 05:54:32;N5157.7016E00402.428;770;100;
2019-03-07 05:55:32;N5157.7016E00402.428;331;105;
2019-03-07 05:55:32;N5157.7016E00402.428;650;1440;
2019-03-07 05:55:32;N5157.7016E00402.428;770;100;
2019-03-07 05:56:32;N5157.7016E00402.428;331;116;
2019-03-07 05:56:32;N5157.7016E00402.428;650;1420;
2019-03-07 05:56:32;N5157.7016E00402.428;770;100;
2019-03-07 05:57:32;N5157.7016E00402.428;331;128;
2019-03-07 05:57:32;N5157.7016E00402.428;650;1416;
