DateTime,GpsPos,EventNumber,Data
2019-03-13 05:04:18,N5325.1993E00249.583,770,99
2019-03-13 05:05:18,N5325.0715E00249.539,331,5301
2019-03-13 05:05:18,N5325.0715E00249.539,640,1631
2019-03-13 05:05:18,N5325.0715E00249.539,650,1631
2019-03-13 05:05:18,N5325.0715E00249.539,760,85
2019-03-13 05:05:18,N5325.0715E00249.539,770,99
2019-03-13 05:06:18,N5324.9471E00249.494,331,5313
2019-03-13 05:06:18,N5324.9471E00249.494,640,1609
2019-03-13 05:06:18,N5324.9471E00249.494,650,1648
2019-03-13 05:06:18,N5324.9471E00249.494,760,84
2019-03-13 05:06:18,N5324.9471E00249.494,770,99
2019-03-13 05:07:18,N5324.8198E00249.438,331,5324
2019-03-13 05:07:18,N5324.8198E00249.438,640,1601
2019-03-13 05:07:18,N5324.8198E00249.438,650,1640
2019-03-13 05:07:18,N5324.8198E00249.438,760,84
2019-03-13 05:07:18,N5324.8198E00249.438,770,99
2019-03-13 05:08:18,N5324.6977E00249.382,331,5335
2019-03-13 05:08:18,N5324.6977E00249.382,640,1607
2019-03-13 05:08:18,N5324.6977E00249.382,650,1595
2019-03-13 05:08:18,N5324.6977E00249.382,760,85
2019-03-13 05:08:18,N5324.6977E00249.382,770,99
2019-03-13 05:09:18,N5324.5828E00249.349,331,5346
2019-03-13 05:09:18,N5324.5828E00249.349,640,1601
2019-03-13 05:09:18,N5324.5828E00249.349,650,1595
2019-03-13 05:09:18,N5324.5828E00249.349,760,85
2019-03-13 05:09:18,N5324.5828E00249.349,770,99
2019-03-13 05:10:18,N5324.4663E00249.311,331,5356
2019-03-13 05:10:18,N5324.4663E00249.311,640,1588
2019-03-13 05:10:18,N5324.4663E00249.311,650,1593
2019-03-13 05:10:18,N5324.4663E00249.311,760,85
2019-03-13 05:10:18,N5324.4663E00249.311,770,99
2019-03-13 05:10:33,-,240,0
2019-03-13 05:11:18,N5324.3537E00249.279,640,1596
2019-03-13 05:11:18,N5324.3537E00249.279,650,1590
2019-03-13 05:11:18,N5324.3537E00249.279,760,85
2019-03-13 05:11:18,N5324.3537E00249.279,770,99
2019-03-13 05:11:24,N5324.3417E00249.275,806,0
2019-03-13 05:12:18,N5324.2431E00249.266,331,5374
2019-03-13 05:12:18,N5324.2431E00249.266,640,1615
2019-03-13 05:12:18,N5324.2431E00249.266,650,1618
2019-03-13 05:12:18,N5324.2431E00249.266,760,85
2019-03-13 05:12:18,N5324.2431E00249.266,770,99
2019-03-13 05:13:18,N5324.1237E00249.234,331,5385
2019-03-13 05:13:18,N5324.1237E00249.234,640,1607
2019-03-13 05:13:18,N5324.1237E00249.234,650,1631
2019-03-13 05:13:18,N5324.1237E00249.234,760,85
2019-03-13 05:13:18,N5324.1237E00249.234,770,99
2019-03-13 05:14:18,N5324.0024E00249.211,331,5397
2019-03-13 05:14:18,N5324.0024E00249.211,640,1617
2019-03-13 05:14:18,N5324.0024E00249.211,650,1615
2019-03-13 05:14:18,N5324.0024E00249.211,760,85
2019-03-13 05:14:18,N5324.0024E00249.211,770,99
2019-03-13 05:15:18,N5323.8849E00249.173,331,5408
2019-03-13 05:15:18,N5323.8849E00249.173,640,1598
2019-03-13 05:15:18,N5323.8849E00249.173,650,1605
2019-03-13 05:15:18,N5323.8849E00249.173,760,85
2019-03-13 05:15:18,N5323.8849E00249.173,770,99
2019-03-13 05:16:18,N5323.7650E00249.157,331,5418
2019-03-13 05:16:18,N5323.7650E00249.157,640,1570
2019-03-13 05:16:18,N5323.7650E00249.157,650,1594
2019-03-13 05:16:18,N5323.7650E00249.157,760,86
2019-03-13 05:16:18,N5323.7650E00249.157,770,99
2019-03-13 05:17:18,N5323.6474E00249.131,331,5426
2019-03-13 05:17:18,N5323.6474E00249.131,640,1590
2019-03-13 05:17:18,N5323.6474E00249.131,650,1578
2019-03-13 05:17:18,N5323.6474E00249.131,760,86
2019-03-13 05:17:18,N5323.6474E00249.131,770,99
2019-03-13 05:17:39,-,240,0
2019-03-13 05:18:18,N5323.5329E00249.117,640,1587
2019-03-13 05:18:18,N5323.5329E00249.117,650,1590
2019-03-13 05:18:18,N5323.5329E00249.117,760,86
2019-03-13 05:18:18,N5323.5329E00249.117,770,100
2019-03-13 05:18:30,N5323.5084E00249.114,806,0
2019-03-13 05:19:18,N5323.4083E00249.096,331,5444
2019-03-13 05:19:18,N5323.4083E00249.096,640,1597
2019-03-13 05:19:18,N5323.4083E00249.096,650,1605
2019-03-13 05:19:18,N5323.4083E00249.096,760,86
2019-03-13 05:19:18,N5323.4083E00249.096,770,100
2019-03-13 05:20:18,N5323.2813E00249.070,331,5455
2019-03-13 05:20:18,N5323.2813E00249.070,640,1600
2019-03-13 05:20:18,N5323.2813E00249.070,650,1601
2019-03-13 05:20:18,N5323.2813E00249.070,760,87
2019-03-13 05:20:18,N5323.2813E00249.070,770,100
2019-03-13 05:21:18,N5323.1499E00249.047,331,5467
2019-03-13 05:21:18,N5323.1499E00249.047,640,1603
2019-03-13 05:21:18,N5323.1499E00249.047,650,1612
2019-03-13 05:21:18,N5323.1499E00249.047,760,87
2019-03-13 05:21:18,N5323.1499E00249.047,770,100
2019-03-13 05:22:18,N5323.0136E00249.015,331,5478
2019-03-13 05:22:18,N5323.0136E00249.015,640,1605
2019-03-13 05:22:18,N5323.0136E00249.015,650,1587
2019-03-13 05:22:18,N5323.0136E00249.015,760,87
2019-03-13 05:22:18,N5323.0136E00249.015,770,100
2019-03-13 05:23:18,N5322.8829E00248.978,331,5488
2019-03-13 05:23:18,N5322.8829E00248.978,640,1578
2019-03-13 05:23:18,N5322.8829E00248.978,650,1583
2019-03-13 05:23:18,N5322.8829E00248.978,760,87
2019-03-13 05:23:18,N5322.8829E00248.978,770,100
2019-03-13 05:24:03,-,240,0
2019-03-13 05:24:18,N5322.7470E00248.940,640,1572
2019-03-13 05:24:18,N5322.7470E00248.940,650,1553
2019-03-13 05:24:18,N5322.7470E00248.940,760,87
2019-03-13 05:24:18,N5322.7470E00248.940,770,100
2019-03-13 05:24:54,N5322.6646E00248.916,806,0
2019-03-13 05:25:18,N5322.6103E00248.894,331,5505
2019-03-13 05:25:18,N5322.6103E00248.894,640,1606
2019-03-13 05:25:18,N5322.6103E00248.894,650,1577
2019-03-13 05:25:18,N5322.6103E00248.894,760,88
2019-03-13 05:25:18,N5322.6103E00248.894,770,100
2019-03-13 05:26:19,N5322.4773E00248.844,331,5516
2019-03-13 05:26:19,N5322.4773E00248.844,640,1633
2019-03-13 05:26:19,N5322.4773E00248.844,650,1590
2019-03-13 05:26:19,N5322.4773E00248.844,760,87
2019-03-13 05:26:19,N5322.4773E00248.844,770,100
2019-03-13 05:27:19,N5322.3487E00248.794,331,5527
2019-03-13 05:27:19,N5322.3487E00248.794,640,1611
2019-03-13 05:27:19,N5322.3487E00248.794,650,1588
2019-03-13 05:27:19,N5322.3487E00248.794,760,87
2019-03-13 05:27:19,N5322.3487E00248.794,770,100
2019-03-13 05:28:19,N5322.2303E00248.763,331,5537
2019-03-13 05:28:19,N5322.2303E00248.763,640,1597
2019-03-13 05:28:19,N5322.2303E00248.763,650,1574
2019-03-13 05:28:19,N5322.2303E00248.763,760,88
2019-03-13 05:28:19,N5322.2303E00248.763,770,100
2019-03-13 05:29:19,N5322.1282E00248.745,331,5548
2019-03-13 05:29:19,N5322.1282E00248.745,640,1610
2019-03-13 05:29:19,N5322.1282E00248.745,650,1572
2019-03-13 05:29:19,N5322.1282E00248.745,760,88
2019-03-13 05:29:19,N5322.1282E00248.745,770,100
2019-03-13 05:30:19,N5322.0232E00248.686,331,5556
2019-03-13 05:30:19,N5322.0232E00248.686,640,1591
2019-03-13 05:30:19,N5322.0232E00248.686,650,1555
2019-03-13 05:30:19,N5322.0232E00248.686,760,88
2019-03-13 05:30:19,N5322.0232E00248.686,770,100
2019-03-13 05:30:23,-,240,0
2019-03-13 05:31:15,N5321.9241E00248.624,806,0
2019-03-13 05:31:19,N5321.9157E00248.621,331,5563
2019-03-13 05:31:19,N5321.9157E00248.621,640,1610
2019-03-13 05:31:19,N5321.9157E00248.621,650,1562
2019-03-13 05:31:19,N5321.9157E00248.621,760,88
2019-03-13 05:31:19,N5321.9157E00248.621,770,100
2019-03-13 05:32:19,N5321.8030E00248.545,331,5573
2019-03-13 05:32:19,N5321.8030E00248.545,640,1633
2019-03-13 05:32:19,N5321.8030E00248.545,650,1576
2019-03-13 05:32:19,N5321.8030E00248.545,760,88
2019-03-13 05:32:19,N5321.8030E00248.545,770,100
2019-03-13 05:33:19,N5321.6923E00248.495,331,5585
2019-03-13 05:33:19,N5321.6923E00248.495,640,1628
2019-03-13 05:33:19,N5321.6923E00248.495,650,1598
