DateTime,GpsPos,EventNumber,Data,Team
2019-03-18 07:11:07,N5224.0572E00446.595,650,1693,Team Toccata
2019-03-18 07:11:07,N5224.0572E00446.595,760,90,Team Toccata
2019-03-18 07:11:07,N5224.0572E00446.595,770,99,Team Toccata
2019-03-18 07:12:07,N5224.0571E00446.595,341,3694,Team Toccata
2019-03-18 07:12:07,N5224.0571E00446.595,640,1690,Team Toccata
2019-03-18 07:12:07,N5224.0571E00446.595,650,1663,Team Toccata
2019-03-18 07:12:07,N5224.0571E00446.595,760,89,Team Toccata
2019-03-18 07:12:07,N5224.0571E00446.595,770,99,Team Toccata
2019-03-18 07:13:07,N5224.0571E00446.595,341,3707,Team Toccata
2019-03-18 07:13:07,N5224.0571E00446.595,640,1698,Team Toccata
2019-03-18 07:13:07,N5224.0571E00446.595,650,1673,Team Toccata
2019-03-18 07:13:07,N5224.0571E00446.595,760,88,Team Toccata
2019-03-18 07:13:07,N5224.0571E00446.595,770,98,Team Toccata
2019-03-18 07:14:07,N5224.0572E00446.595,341,3721,Team Toccata
2019-03-18 07:14:07,N5224.0572E00446.595,640,1689,Team Toccata
2019-03-18 07:14:07,N5224.0572E00446.595,650,1671,Team Toccata
2019-03-18 07:14:07,N5224.0572E00446.595,760,87,Team Toccata
2019-03-18 07:14:07,N5224.0572E00446.595,770,98,Team Toccata
2019-03-18 07:15:07,N5224.0572E00446.595,341,3735,Team Toccata
2019-03-18 07:15:07,N5224.0572E00446.595,640,1681,Team Toccata
2019-03-18 07:15:07,N5224.0572E00446.595,650,1653,Team Toccata
2019-03-18 07:15:07,N5224.0572E00446.595,760,87,Team Toccata
2019-03-18 07:15:07,N5224.0572E00446.595,770,97,Team Toccata
2019-03-18 07:16:07,N5224.0570E00446.595,341,3748,Team Toccata
2019-03-18 07:16:07,N5224.0570E00446.595,640,1659,Team Toccata
2019-03-18 07:16:07,N5224.0570E00446.595,650,1657,Team Toccata
2019-03-18 07:16:07,N5224.0570E00446.595,760,86,Team Toccata
2019-03-18 07:16:07,N5224.0570E00446.595,770,97,Team Toccata
2019-03-18 07:17:08,N5224.0572E00446.595,341,3762,Team Toccata
2019-03-18 07:17:08,N5224.0572E00446.595,640,1658,Team Toccata
2019-03-18 07:17:08,N5224.0572E00446.595,650,1653,Team Toccata
2019-03-18 07:17:08,N5224.0572E00446.595,760,86,Team Toccata
2019-03-18 07:17:08,N5224.0572E00446.595,770,96,Team Toccata
2019-03-18 07:18:08,N5224.0574E00446.595,341,3776,Team Toccata
2019-03-18 07:18:08,N5224.0574E00446.595,640,1647,Team Toccata
2019-03-18 07:18:08,N5224.0574E00446.595,650,1642,Team Toccata
2019-03-18 07:18:08,N5224.0574E00446.595,760,85,Team Toccata
2019-03-18 07:18:08,N5224.0574E00446.595,770,96,Team Toccata
2019-03-18 07:19:08,N5224.0577E00446.595,341,3789,Team Toccata
2019-03-18 07:19:08,N5224.0577E00446.595,640,1636,Team Toccata
2019-03-18 07:19:08,N5224.0577E00446.595,650,1640,Team Toccata
2019-03-18 07:19:08,N5224.0577E00446.595,760,85,Team Toccata
2019-03-18 07:19:08,N5224.0577E00446.595,770,96,Team Toccata
2019-03-18 07:20:08,N5224.0575E00446.595,341,3803,Team Toccata
2019-03-18 07:20:08,N5224.0575E00446.595,640,1638,Team Toccata
2019-03-18 07:20:08,N5224.0575E00446.595,650,1643,Team Toccata
2019-03-18 07:20:08,N5224.0575E00446.595,760,85,Team Toccata
2019-03-18 07:20:08,N5224.0575E00446.595,770,96,Team Toccata
2019-03-18 07:21:08,N5224.0576E00446.595,341,3817,Team Toccata
2019-03-18 07:21:08,N5224.0576E00446.595,640,1636,Team Toccata
2019-03-18 07:21:08,N5224.0576E00446.595,650,1626,Team Toccata
2019-03-18 07:21:08,N5224.0576E00446.595,760,85,Team Toccata
2019-03-18 07:21:08,N5224.0576E00446.595,770,95,Team Toccata
2019-03-18 07:22:08,N5224.0579E00446.595,341,3830,Team Toccata
2019-03-18 07:22:08,N5224.0579E00446.595,640,1636,Team Toccata
2019-03-18 07:22:08,N5224.0579E00446.595,650,1624,Team Toccata
2019-03-18 07:22:08,N5224.0579E00446.595,760,84,Team Toccata
2019-03-18 07:22:08,N5224.0579E00446.595,770,95,Team Toccata
2019-03-18 07:23:08,N5224.0596E00446.594,341,3844,Team Toccata
2019-03-18 07:23:08,N5224.0596E00446.594,640,1611,Team Toccata
2019-03-18 07:23:08,N5224.0596E00446.594,650,1627,Team Toccata
2019-03-18 07:23:08,N5224.0596E00446.594,760,84,Team Toccata
2019-03-18 07:23:08,N5224.0596E00446.594,770,95,Team Toccata
2019-03-18 07:24:08,N5224.0593E00446.594,341,3858,Team Toccata
2019-03-18 07:24:08,N5224.0593E00446.594,640,1610,Team Toccata
2019-03-18 07:24:08,N5224.0593E00446.594,650,1621,Team Toccata
2019-03-18 07:24:08,N5224.0593E00446.594,760,84,Team Toccata
2019-03-18 07:24:08,N5224.0593E00446.594,770,95,Team Toccata
2019-03-18 07:25:08,N5224.0588E00446.594,341,3871,Team Toccata
2019-03-18 07:25:08,N5224.0588E00446.594,640,1610,Team Toccata
2019-03-18 07:25:08,N5224.0588E00446.594,650,1621,Team Toccata
2019-03-18 07:25:08,N5224.0588E00446.594,760,84,Team Toccata
2019-03-18 07:25:08,N5224.0588E00446.594,770,95,Team Toccata
2019-03-18 07:26:08,N5224.0572E00446.595,341,3885,Team Toccata
2019-03-18 07:26:08,N5224.0572E00446.595,640,1611,Team Toccata
2019-03-18 07:26:08,N5224.0572E00446.595,650,1622,Team Toccata
2019-03-18 07:26:08,N5224.0572E00446.595,760,84,Team Toccata
2019-03-18 07:26:08,N5224.0572E00446.595,770,95,Team Toccata
2019-03-18 07:27:08,N5224.0572E00446.595,341,3898,Team Toccata
2019-03-18 07:27:08,N5224.0572E00446.595,640,1594,Team Toccata
2019-03-18 07:27:08,N5224.0572E00446.595,650,1599,Team Toccata
2019-03-18 07:27:08,N5224.0572E00446.595,760,85,Team Toccata
2019-03-18 07:27:08,N5224.0572E00446.595,770,95,Team Toccata
2019-03-18 07:28:08,N5224.0573E00446.595,341,3912,Team Toccata
2019-03-18 07:28:08,N5224.0573E00446.595,640,1606,Team Toccata
2019-03-18 07:28:08,N5224.0573E00446.595,650,1613,Team Toccata
2019-03-18 07:28:08,N5224.0573E00446.595,760,84,Team Toccata
2019-03-18 07:28:08,N5224.0573E00446.595,770,95,Team Toccata
2019-03-18 07:29:08,N5224.0571E00446.595,341,3926,Team Toccata
2019-03-18 07:29:08,N5224.0571E00446.595,640,1612,Team Toccata
2019-03-18 07:29:08,N5224.0571E00446.595,650,1618,Team Toccata
2019-03-18 07:29:08,N5224.0571E00446.595,760,84,Team Toccata
2019-03-18 07:29:08,N5224.0571E00446.595,770,95,Team Toccata
2019-03-18 07:30:08,N5224.0573E00446.595,341,3939,Team Toccata
2019-03-18 07:30:08,N5224.0573E00446.595,640,1618,Team Toccata
2019-03-18 07:30:08,N5224.0573E00446.595,650,1626,Team Toccata
2019-03-18 07:30:08,N5224.0573E00446.595,760,84,Team Toccata
2019-03-18 07:30:08,N5224.0573E00446.595,770,95,Team Toccata
2019-03-18 07:31:08,N5224.0575E00446.595,341,3953,Team Toccata
2019-03-18 07:31:08,N5224.0575E00446.595,640,1615,Team Toccata
2019-03-18 07:31:08,N5224.0575E00446.595,650,1620,Team Toccata
2019-03-18 07:31:08,N5224.0575E00446.595,760,84,Team Toccata
2019-03-18 07:31:08,N5224.0575E00446.595,770,95,Team Toccata
2019-03-18 07:32:08,N5224.0575E00446.595,341,3966,Team Toccata
2019-03-18 07:32:08,N5224.0575E00446.595,640,1616,Team Toccata
2019-03-18 07:32:08,N5224.0575E00446.595,650,1609,Team Toccata
2019-03-18 07:32:08,N5224.0575E00446.595,760,84,Team Toccata
2019-03-18 07:32:08,N5224.0575E00446.595,770,95,Team Toccata
2019-03-18 07:33:08,N5224.0577E00446.595,341,3980,Team Toccata
2019-03-18 07:33:08,N5224.0577E00446.595,640,1614,Team Toccata
2019-03-18 07:33:08,N5224.0577E00446.595,650,1616,Team Toccata
2019-03-18 07:33:08,N5224.0577E00446.595,760,84,Team Toccata
2019-03-18 07:33:08,N5224.0577E00446.595,770,95,Team Toccata
2019-03-18 07:34:08,N5224.0577E00446.595,341,3994,Team Toccata
2019-03-18 07:34:08,N5224.0577E00446.595,640,1616,Team Toccata
2019-03-18 07:34:08,N5224.0577E00446.595,650,1613,Team Toccata
2019-03-18 07:34:08,N5224.0577E00446.595,760,84,Team Toccata
2019-03-18 07:34:08,N5224.0577E00446.595,770,95,Team Toccata
2019-03-18 07:35:08,N5224.0576E00446.595,341,4007,Team Toccata
2019-03-18 07:35:08,N5224.0576E00446.595,640,1616,Team Toccata
2019-03-18 07:35:08,N5224.0576E00446.595,650,1611,Team Toccata
2019-03-18 07:35:08,N5224.0576E00446.595,760,84,Team Toccata
2019-03-18 07:35:08,N5224.0576E00446.595,770,95,Team Toccata
2019-03-18 07:36:08,N5224.0576E00446.595,341,4021,Team Toccata
