DateTime,GpsPos,EventNumber,Data,Team
2019-06-23 04:22:58,N3709.66W00653.95,640,774,Team Tosca
2019-06-23 04:22:58,N3709.66W00653.95,650,750,Team Tosca
2019-06-23 04:22:58,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:22:58,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:23:58,N3709.66W00653.95,331,2227,Team Tosca
2019-06-23 04:23:58,N3709.66W00653.95,640,773,Team Tosca
2019-06-23 04:23:58,N3709.66W00653.95,650,751,Team Tosca
2019-06-23 04:23:58,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:23:58,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:24:58,N3709.66W00653.95,331,2238,Team Tosca
2019-06-23 04:24:58,N3709.66W00653.95,640,770,Team Tosca
2019-06-23 04:24:58,N3709.66W00653.95,650,751,Team Tosca
2019-06-23 04:24:58,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:24:58,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:25:58,N3709.66W00653.95,331,2248,Team Tosca
2019-06-23 04:25:58,N3709.66W00653.95,640,765,Team Tosca
2019-06-23 04:25:58,N3709.66W00653.95,650,748,Team Tosca
2019-06-23 04:25:58,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:25:58,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:26:28,-,240,0,Team Tosca
2019-06-23 04:26:58,N3709.66W00653.95,640,778,Team Tosca
2019-06-23 04:26:58,N3709.66W00653.95,650,748,Team Tosca
2019-06-23 04:26:58,N3709.66W00653.95,760,71,Team Tosca
2019-06-23 04:26:58,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:27:00,N3709.66W00653.95,805,0,Team Tosca
2019-06-23 04:27:58,N3709.66W00653.95,331,2273,Team Tosca
2019-06-23 04:27:58,N3709.66W00653.95,640,777,Team Tosca
2019-06-23 04:27:58,N3709.66W00653.95,650,754,Team Tosca
2019-06-23 04:27:58,N3709.66W00653.95,760,71,Team Tosca
2019-06-23 04:27:58,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:28:58,N3709.66W00653.95,331,2288,Team Tosca
2019-06-23 04:28:58,N3709.66W00653.95,640,772,Team Tosca
2019-06-23 04:28:58,N3709.66W00653.95,650,757,Team Tosca
