Team Tosca;;;;
PB-02439;;;;
V3.1.17 ;;;;
DateTime;GpsPos;EventNumber;Data;
2019-06-24 07:44:03;N3709.66W00653.95;341;777;
2019-06-24 07:44:03;N3709.66W00653.95;640;773;
2019-06-24 07:44:03;N3709.66W00653.95;760;100;
2019-06-24 07:45:03;N3709.66W00653.95;341;780;
2019-06-24 07:45:03;N3709.66W00653.95;640;684;
2019-06-24 07:45:03;N3709.66W00653.95;760;100;
2019-06-24 07:46:03;N3709.66W00653.95;341;784;
2019-06-24 07:46:03;N3709.66W00653.95;640;684;
2019-06-24 07:46:03;N3709.66W00653.95;760;100;
2019-06-24 07:47:03;N3709.66W00653.95;341;787;
2019-06-24 07:47:03;N3709.66W00653.95;640;624;
2019-06-24 07:47:03;N3709.66W00653.95;760;100;
2019-06-24 07:47:37;-;290;0;
2019-06-24 07:48:35;N3709.66W00653.95;160;0;
2019-06-24 07:48:35;-;380;0;
2019-06-24 07:48:50;-;190;0;
2019-06-24 07:48:50;N3709.66W00653.95;340;789;
2019-06-24 07:53:09;-;210;0;
2019-06-24 07:53:09;-;370;0;
2019-06-24 07:53:11;N3709.66W00653.95;150;0;
2019-06-24 07:54:53;-;430;1;
2019-06-24 07:54:54;-;430;2;
2019-06-24 07:54:59;-;390;0;
2019-06-24 07:55:03;N3709.66W00653.95;640;870;
2019-06-24 07:55:03;N3709.66W00653.95;650;821;
2019-06-24 07:55:03;N3709.66W00653.95;760;100;
2019-06-24 07:55:03;N3709.66W00653.95;770;100;
2019-06-24 07:55:10;N3709.66W00653.95;155;0;
2019-06-24 07:56:04;N3709.66W00653.95;640;908;
2019-06-24 07:56:04;N3709.66W00653.95;650;953;
2019-06-24 07:56:04;N3709.66W00653.95;760;100;
2019-06-24 07:56:04;N3709.66W00653.95;770;100;
2019-06-24 07:57:04;N3709.66W00653.95;640;916;
2019-06-24 07:57:04;N3709.66W00653.95;650;947;
2019-06-24 07:57:04;N3709.66W00653.95;760;100;
2019-06-24 07:57:04;N3709.66W00653.95;770;100;
2019-06-24 07:57:34;-;250;0;
2019-06-24 07:58:04;N3709.66W00653.95;640;932;
2019-06-24 07:58:04;N3709.66W00653.95;650;963;
2019-06-24 07:58:04;N3709.66W00653.95;760;99;
2019-06-24 07:58:04;N3709.66W00653.95;770;99;
2019-06-24 07:58:18;N3709.66W00653.95;165;0;
2019-06-24 07:58:18;-;400;0;
2019-06-24 07:59:33;N3709.66W00653.95;160;0;
2019-06-24 07:59:33;-;380;0;
2019-06-24 08:00:00;-;190;0;
2019-06-24 08:03:36;-;260;0;
2019-06-24 08:03:36;-;370;0;
2019-06-24 08:03:38;N3709.66W00653.95;150;0;
2019-06-24 08:05:19;-;430;1;
2019-06-24 08:06:04;N3709.66W00653.95;650;501;
2019-06-24 08:06:04;N3709.66W00653.95;770;50;
2019-06-24 08:06:35;N3709.66W00653.95;270;0;
2019-06-24 08:06:35;N3709.66W00653.95;805;0;
2019-06-24 08:07:04;N3709.66W00653.95;341;1;
2019-06-24 08:07:04;N3709.66W00653.95;650;869;
2019-06-24 08:07:04;N3709.66W00653.95;770;100;
2019-06-24 08:08:04;N3709.67W00653.95;341;3;
2019-06-24 08:08:04;N3709.67W00653.95;650;917;
2019-06-24 08:08:04;N3709.67W00653.95;770;100;
2019-06-24 08:09:04;N3709.66W00653.95;341;6;
2019-06-24 08:09:04;N3709.66W00653.95;650;880;
2019-06-24 08:09:04;N3709.66W00653.95;770;100;
2019-06-24 08:10:04;N3709.66W00653.95;341;9;
2019-06-24 08:10:04;N3709.66W00653.95;650;926;
2019-06-24 08:10:04;N3709.66W00653.95;770;100;
2019-06-24 08:11:04;N3709.66W00653.95;341;12;
2019-06-24 08:11:04;N3709.66W00653.95;650;918;
2019-06-24 08:11:04;N3709.66W00653.95;770;100;
2019-06-24 08:12:04;N3709.66W00653.95;341;15;
2019-06-24 08:12:04;N3709.66W00653.95;650;920;
2019-06-24 08:12:04;N3709.66W00653.95;770;100;
2019-06-24 08:13:04;N3709.66W00653.95;341;18;
2019-06-24 08:13:04;N3709.66W00653.95;650;915;
2019-06-24 08:13:04;N3709.66W00653.95;770;100;
2019-06-24 08:14:04;N3709.66W00653.95;341;21;
2019-06-24 08:14:04;N3709.66W00653.95;650;941;
2019-06-24 08:14:04;N3709.66W00653.95;770;100;
2019-06-24 08:15:04;N3709.66W00653.95;341;25;
2019-06-24 08:15:04;N3709.66W00653.95;650;940;
2019-06-24 08:15:04;N3709.66W00653.95;770;100;
2019-06-24 08:16:04;N3709.66W00653.95;341;28;
2019-06-24 08:16:04;N3709.66W00653.95;650;936;
2019-06-24 08:16:04;N3709.66W00653.95;770;100;
2019-06-24 08:17:04;N3709.66W00653.95;341;31;
2019-06-24 08:17:04;N3709.66W00653.95;650;936;
2019-06-24 08:17:04;N3709.66W00653.95;770;100;
2019-06-24 08:18:04;N3709.66W00653.95;341;35;
2019-06-24 08:18:04;N3709.66W00653.95;650;931;
2019-06-24 08:18:04;N3709.66W00653.95;770;100;
2019-06-24 08:19:04;N3709.66W00653.95;341;38;
2019-06-24 08:19:04;N3709.66W00653.95;650;939;
2019-06-24 08:19:04;N3709.66W00653.95;770;100;
