DateTime,GpsPos,EventNumber,Data
2019-06-30 22:59:32,N4120.25E00209.17,650,689
2019-06-30 22:59:32,N4120.25E00209.17,760,81
2019-06-30 22:59:32,N4120.25E00209.17,770,86
2019-06-30 23:00:32,N4120.25E00209.17,331,2183
2019-06-30 23:00:32,N4120.25E00209.17,640,720
2019-06-30 23:00:32,N4120.25E00209.17,650,688
2019-06-30 23:00:32,N4120.25E00209.17,760,81
2019-06-30 23:00:32,N4120.25E00209.17,770,86
2019-06-30 23:01:32,N4120.25E00209.17,331,2209
2019-06-30 23:01:32,N4120.25E00209.17,640,720
2019-06-30 23:01:32,N4120.25E00209.17,650,689
2019-06-30 23:01:32,N4120.25E00209.17,760,81
2019-06-30 23:01:32,N4120.25E00209.17,770,86
2019-06-30 23:02:32,N4120.25E00209.17,331,2234
2019-06-30 23:02:32,N4120.25E00209.17,640,720
2019-06-30 23:02:32,N4120.25E00209.17,650,689
2019-06-30 23:02:32,N4120.25E00209.17,760,81
2019-06-30 23:02:32,N4120.25E00209.17,770,86
2019-06-30 23:03:32,N4120.25E00209.17,331,2259
2019-06-30 23:03:32,N4120.25E00209.17,640,721
2019-06-30 23:03:32,N4120.25E00209.17,650,690
2019-06-30 23:03:32,N4120.25E00209.17,760,80
2019-06-30 23:03:32,N4120.25E00209.17,770,86
2019-06-30 23:04:33,N4120.25E00209.17,331,2284
2019-06-30 23:04:33,N4120.25E00209.17,640,722
2019-06-30 23:04:33,N4120.25E00209.17,650,690
2019-06-30 23:04:33,N4120.25E00209.17,760,81
2019-06-30 23:04:33,N4120.25E00209.17,770,86
2019-06-30 23:05:33,N4120.25E00209.17,331,2308
2019-06-30 23:05:33,N4120.25E00209.17,640,722
2019-06-30 23:05:33,N4120.25E00209.17,650,689
2019-06-30 23:05:33,N4120.25E00209.17,760,81
2019-06-30 23:05:33,N4120.25E00209.17,770,86
2019-06-30 23:06:33,N4120.25E00209.17,331,2332
2019-06-30 23:06:33,N4120.25E00209.17,640,722
2019-06-30 23:06:33,N4120.25E00209.17,650,689
2019-06-30 23:06:33,N4120.25E00209.17,760,81
2019-06-30 23:06:33,N4120.25E00209.17,770,86
2019-06-30 23:07:33,N4120.25E00209.17,331,2356
2019-06-30 23:07:33,N4120.25E00209.17,640,720
2019-06-30 23:07:33,N4120.25E00209.17,650,688
2019-06-30 23:07:33,N4120.25E00209.17,760,81
2019-06-30 23:07:33,N4120.25E00209.17,770,86
2019-06-30 23:08:01,-,240,0
2019-06-30 23:08:33,N4120.25E00209.17,331,2378
2019-06-30 23:08:33,N4120.25E00209.17,640,721
2019-06-30 23:08:33,N4120.25E00209.17,650,689
2019-06-30 23:08:33,N4120.25E00209.17,760,81
2019-06-30 23:08:33,N4120.25E00209.17,770,86
2019-06-30 23:08:33,N4120.25E00209.17,805,0
2019-06-30 23:09:33,N4120.25E00209.17,331,2397
2019-06-30 23:09:33,N4120.25E00209.17,640,723
2019-06-30 23:09:33,N4120.25E00209.17,650,693
2019-06-30 23:09:33,N4120.25E00209.17,760,81
2019-06-30 23:09:33,N4120.25E00209.17,770,86
2019-06-30 23:10:33,N4120.25E00209.17,331,2422
2019-06-30 23:10:33,N4120.25E00209.17,640,723
2019-06-30 23:10:33,N4120.25E00209.17,650,693
2019-06-30 23:10:33,N4120.25E00209.17,760,81
2019-06-30 23:10:33,N4120.25E00209.17,770,86
2019-06-30 23:11:33,N4120.25E00209.17,331,2447
2019-06-30 23:11:33,N4120.25E00209.17,640,723
2019-06-30 23:11:33,N4120.25E00209.17,650,692
2019-06-30 23:11:33,N4120.25E00209.17,760,81
2019-06-30 23:11:33,N4120.25E00209.17,770,86
2019-06-30 23:12:33,N4120.25E00209.17,331,2472
2019-06-30 23:12:33,N4120.25E00209.17,640,723
2019-06-30 23:12:33,N4120.25E00209.17,650,692
2019-06-30 23:12:33,N4120.25E00209.17,760,81
2019-06-30 23:12:33,N4120.25E00209.17,770,86
2019-06-30 23:13:33,N4120.25E00209.17,331,2496
